INSTRUCTION_KEY, MAX_MEM_CYCLE, FUNCTION_KEY_LIST
RLC, 1, RLC
RLC_HL, 3, MemReadIndirectHL, RLC_MEMVAL_MemWriteIndirectHL, NOP
RRC, 1, RRC
RRC_HL, 3, MemReadIndirectHL, RRC_MEMVAL_MemWriteIndirectHL, NOP
RL, 1, RL
RL_HL, 3, MemReadIndirectHL, RL_MEMVAL_MemWriteIndirectHL, NOP
RR, 1, RR
RR_HL, 3, MemReadIndirectHL, RR_MEMVAL_MemWriteIndirectHL, NOP
SLA, 1, SLA
SLA_HL, 3, MemReadIndirectHL, SLA_MEMVAL_MemWriteIndirectHL, NOP
SRA, 1, SRA
SRA_HL, 3, MemReadIndirectHL, SRA_MEMVAL_MemWriteIndirectHL, NOP
SWAP, 1, SWAP
SWAP_HL, 3, MemReadIndirectHL, SWAP_MEMVAL_MemWriteIndirectHL, NOP
SRL, 1, SRL
SRL_HL, 3, MemReadIndirectHL, SRL_MEMVAL_MemWriteIndirectHL, NOP
BIT, 1, BIT
BIT_HL, 3,  MemReadIndirectHL, BIT_MEMVAL, NOP
RES, 1, RES
RES_HL, 3,  MemReadIndirectHL, RES_MEMVAL_MemWriteIndirectHL, NOP
SET, 1, SET
SET_HL, 3,  MemReadIndirectHL, SET_MEMVAL_MemWriteIndirectHL, NOP
