PRIORIY_INSTRUCTION_KEY, MASK, MATCH_VALUE
RLC_HL, 0xFF, 0x06
RLC, 0xF8, 0x00
RRC_HL, 0xFF, 0x0E
RRC, 0xF8, 0x08
